Flag - Loan,Flag - Credit Pull,Flag - App Started,Flag  - App Complete,state,LIEN1FINANCELOANAMOUNT,Adjusted Gross Income,A - Educational Expenses,A - Real Estate Taxes,A - Home Mortgage Interest,A Invest Interest,A - Child Tax Credit,A - EIC,A - Tax Liability
0,1,1,0,MI,208906.5,163918.033333333,15.083333333,3235.35,5025.683333333,43.666666667,466.883333333,475.416666667,23884.15
0,0,0,0,MD,39285217.064695,108267.608041743,9.669736034,2379.701350522,4505.124309392,65.676488643,232.825659914,500.627685697,15158.424493554
0,0,1,0,TN,276687.142857143,198238.761904762,21.047619048,1617.738095238,4788.904761905,48.523809524,756.976190476,1242.976190476,26683.714285714
0,1,1,0,IA,177000,227028.166666667,23,5322,6256.833333333,82.166666667,843.833333333,766.5,28448
0,0,0,0,NE,,52265.850715746,5.542944785,953.160531697,1089.970347648,22.219836401,195.030674847,278.990797546,6759.670756646
0,1,1,1,OK,211975.6,126221.166666667,15.533333333,1357.7,2789.766666667,12.733333333,570.733333333,1053.066666667,14358.2
0,1,1,1,FL,202624.25,142966.065972222,14.569444444,1992.15625,3447.305555556,78.729166667,423.239583333,1622.458333333,17923.972222222
0,1,1,1,MI,224063.421052632,164447.780701754,16.508771930,2994.903508772,3768.026315789,49.192982456,482.315789474,731.728070175,21901.508771930
0,1,1,1,NM,247543.263157895,124981.51754386,14.377192982,1544.008771930,3705.956140351,91.578947368,385.350877193,965.473684211,16210.701754386
0,0,0,0,OR,3646297.86349206,83559.394179894,6.087830688,1786.214285714,3062.607407407,40.794179894,250.366666667,439.640740741,10572.185714286
0,0,0,0,AZ,22423584.526749,123430.27412731,11.523271732,1487.996577687,4067.357973990,90.901437372,410.702600958,986.568446270,16029.014715948
0,1,1,0,IL,197614.916666667,143118.138888889,19.208333333,4472.805555556,4612.763888889,27.444444444,451.180555556,1278.986111111,17372.166666667
0,1,1,1,TX,215613.130434783,184099.775362319,26.567632850,4114.987922705,4575.572463768,67.678743961,676.504830918,1394.905797101,24609.731884058
0,1,1,0,OK,151137,20551,4.333333333,168.333333333,537.5,0,116.666666667,180.333333333,2123.666666667
0,0,0,0,IA,3523203.37372263,26549.745838668,2.536705079,465.953691848,554.241784038,7.396713615,96.697183099,131.938326931,3348.832479727
0,1,1,1,MD,309431.208333333,170556.666666667,17.298611111,3708.618055556,7859.361111111,42.013888889,479.486111111,1080.680555556,19394.680555556
0,1,1,1,PA,207463.571428571,126645.952380952,11.714285714,2475.666666667,3500.642857143,33.309523810,323.857142857,522.238095238,17723.547619048
0,0,0,0,IL,11070862.0253853,92247.571986123,8.172882336,2703.377276670,2365.359786065,63.993495230,217.512431339,483.740387395,14225.235906331
0,1,1,0,CA,318633.529411765,183901.284313725,16.450980392,3697.411764706,7878.656862745,83.980392157,601.235294118,1482.254901961,22292.578431373
1,1,1,1,FL,201059.107142857,133727.44047619,12.910714286,1738.607142857,2993.315476190,92.755952381,435.404761905,1799.767857143,15570.785714286
0,1,1,0,AZ,212120.714285714,205258.69047619,20.666666667,2624.309523810,8117.666666667,72.285714286,747.857142857,1064,26580.976190476
