Flag - Credit Pull ,Flag - App Started,Flag - App Complete,Flag - Loan,Zip Code Short,LIEN1FINANCELOANAMOUNT
0,0,0,0,62704,200051.889908257
0,0,0,0,68504,
1,1,1,0,95123,650000
0,0,0,0,04780,262800
0,0,0,0,18344,175822.75
0,0,0,0,32547,218911.48245614
1,1,1,0,75002,193400
0,0,0,0,59405,190130.563535912
0,0,0,0,91732,374872.024390244
0,0,0,0,03598,165161
0,0,0,0,53108,239755.419354839
0,0,0,0,95975,334335.909090909
0,0,0,0,23696,272382
0,0,0,0,45612,192649
0,0,0,0,24550,252103
0,0,0,0,33172,310459
0,0,0,0,61724,169820
0,0,0,0,03446,183477.128205128
0,0,0,0,06498,277833.722222222
0,0,0,0,76306,171168.6
0,0,0,0,72633,162672.5
0,0,0,0,03839,218421.714285714
0,0,0,0,50128,
0,0,0,0,23045,156443
0,0,0,0,95207,257318.331325301
0,0,0,0,06365,236044.90625
0,0,0,0,60532,289153.84
0,0,0,0,16920,160622
0,0,0,0,61107,191977.454545455
0,0,0,0,29466,367401.623955432
0,0,0,0,44404,267200
0,0,0,0,72010,236431.090909091
0,0,0,0,20646,317991.513432836
0,0,0,0,78962,277811.4
0,0,0,0,95329,236943.8125
0,0,0,0,76228,207669
0,0,0,0,21901,245324.902439024
0,0,0,0,71030,199733.6
0,0,0,0,75208,336847.12195122
0,0,0,0,19152,185690.8
0,0,0,0,22480,218245.25
0,0,0,0,50006,200000
0,0,0,0,87106,231771.058394161
0,0,0,0,74130,175000
0,0,0,0,23666,200486.515850144
0,0,0,0,06468,325987.540540541
0,0,0,0,92131,480086.096774194
0,0,0,0,33182,313324.962962963
0,0,0,0,35671,160567
0,0,0,0,78210,197344.892857143
0,0,0,0,97031,199812.666666667
1,1,1,0,59102,220000
1,1,1,0,50322,169750
0,0,0,0,29819,194880.666666667
0,0,0,0,72015,172563.615819209
1,1,1,0,34668,167216
0,0,0,0,88203,185168.681818182
0,0,0,0,49419,214115.865384615
0,0,0,0,49866,206067.821428571
0,0,0,0,35674,177527.176470588
0,0,0,0,33187,310277.375796178
0,0,0,0,45034,219061.090909091
0,0,0,0,06812,325429.222222222
0,0,0,0,94014,418118.571428571
0,0,0,0,97739,189151.7
0,0,0,0,54949,192130.25
0,0,0,0,97034,340696.75
0,0,0,0,60948,254817
0,0,0,0,78215,316000
0,0,0,0,53023,273864.714285714
0,0,0,0,21904,254892.990566038
0,0,0,0,44401,179777.25
0,0,0,0,34241,258312.547008547
0,0,0,0,22485,262276.938356164
0,0,0,0,61102,185241.307692308
0,0,0,0,23663,185013
0,0,0,0,43619,203227.555555556
0,0,0,0,50003,251972.534090909
0,0,0,0,15905,179460
0,0,0,0,93501,192377.25
0,0,0,0,74135,188471.220125786
0,0,0,0,16925,215671.333333333
0,0,0,0,72718,272058.066666667
0,0,0,0,51436,162322
0,0,0,0,68850,
0,0,0,0,95421,357410.333333333
0,0,0,0,76520,185003.166666667
0,0,0,0,35179,174579
0,0,0,0,06360,181137.758241758
0,1,0,0,92026,256000
0,0,0,0,94301,270565.5
0,0,0,0,16142,171826.2
0,0,0,0,60622,552689.833333333
0,0,0,0,96019,217633.309090909
0,0,0,0,73038,223250
0,0,0,0,76635,176739
0,0,0,0,49001,162834.166666667
0,0,0,0,21163,369410.483870968
0,0,0,0,93614,228154.963963964
0,0,0,0,33441,245432.605769231
0,0,0,0,50316,164024.461538462
1,1,0,0,48382,153396
0,0,0,0,37174,275729.273952096
0,0,0,0,43201,286924
0,0,0,0,68037,
0,0,0,0,71852,231683
0,0,0,0,04460,157102
0,0,0,0,32779,271045.025806452
0,0,0,0,34787,269536.180911681
0,0,0,0,91201,413278.222222222
0,0,0,0,43973,193015.333333333
1,1,1,0,88232,159065
0,0,0,0,45321,168072
1,1,1,1,33810,199562.5
1,1,1,1,76116,140900
1,1,1,1,34677,144132
0,0,0,0,44714,186851.125
0,0,0,0,06778,225072.4
1,1,1,1,15641,149045
0,0,0,0,38579,294500
0,0,0,0,62237,230018
0,0,0,0,19930,332571.428571429
0,0,0,0,54623,223036
0,0,0,0,85603,165413
0,0,0,0,97321,208328.946428571
0,0,0,0,36541,178676.196078431
0,0,0,0,77547,141882
1,1,1,0,75904,178899
0,0,0,0,54669,218165.936170213
0,0,0,0,35226,209134.87755102
0,0,0,0,44053,189347.3625
0,0,0,0,52749,188043.555555556
0,0,0,0,36206,180109
0,0,0,0,33306,444748.25
0,0,0,0,19505,201760.333333333
0,0,0,0,34613,203150.760416667
0,0,0,0,44680,230199
0,0,0,0,61550,219825.552380952
0,0,0,0,50451,377500
0,0,0,0,68770,
0,0,0,0,95073,464838.7
0,0,0,0,75152,203891.558823529
0,0,0,0,35954,147283
0,0,0,0,73072,218914.664473684
0,0,0,0,94598,466251.727272727
0,0,0,0,23231,213218.223039216
0,0,0,0,60165,202712
0,0,0,0,71467,167520
1,1,0,0,29154,142373
0,0,0,0,92399,291356.506527415
0,0,0,0,49067,213710.375
0,0,0,0,23510,445600
0,0,0,0,60644,193623
0,0,0,0,19956,209660.414414414
0,0,0,0,19529,247588.75
0,0,0,0,79553,
0,0,0,0,71346,219718.142857143
0,0,0,0,53583,225527.621621622
0,0,0,0,60097,184019.918699187
0,0,0,0,97347,193990
0,0,0,0,71834,
0,0,0,0,36527,205886.839506173
0,0,0,0,52765,331777
0,0,0,0,29710,244150.924418605
0,0,0,0,52068,249216.351351351
0,0,0,0,45347,174325
0,0,0,0,35978,
0,0,0,0,06013,286632.294117647
0,0,0,0,91915,455644.752688172
1,1,1,0,34480,201286
0,0,0,0,43222,200518.5
0,0,0,0,43950,210840.333333333
0,0,0,0,04290,208762.4
0,0,0,0,36562,143126
0,0,0,0,04443,156186
0,0,0,0,48417,189673
0,0,0,0,88135,199266.666666667
0,0,0,0,78123,247582
0,0,0,0,93637,226146.291803279
0,0,0,0,50438,176507
0,0,0,0,21140,313954.90625
0,0,0,0,33462,241220.071661238
0,0,0,0,38257,198552.5
0,0,0,0,49022,201295.636363636
0,0,0,0,29058,196705.083333333
0,0,0,0,32189,184171.25
0,0,0,0,70736,306984.5
0,0,0,0,18087,223100
1,1,1,1,48439,146316
0,0,0,0,21793,297449.339285714
0,0,0,0,97302,212277.904761905
0,0,0,0,62214,492800
0,0,0,0,45302,219527.090909091
0,0,0,0,81418,227446.25
0,0,0,0,03785,227283
0,0,0,0,52720,297408
0,1,0,0,32145,170848
0,0,0,0,17554,182245.8125
0,0,0,0,73716,
0,0,0,0,71303,211328.629370629
0,0,0,0,91950,379777.773722628
0,0,0,0,62966,201955.333333333
0,0,0,0,61877,189880.5
0,0,0,0,19350,278641.466666667
0,0,0,0,92841,390436.325581395
0,0,0,0,37066,264200.351443124
0,0,0,0,17368,203165.777777778
0,0,0,0,74332,185082
0,0,0,0,49113,224090.25
0,0,0,0,35473,182890.272
0,0,0,0,70607,197858.808
0,0,0,0,04572,186103.444444444
0,0,0,0,29664,190269.333333333
0,0,0,0,24171,193787.692307692
0,0,0,0,29169,183411.324675325
0,0,0,0,38366,183975.666666667
0,0,0,0,44606,197977.75
0,0,0,0,34695,254645.962025316
1,1,1,0,79703,152192
0,0,0,0,72212,240314.252525253
0,0,0,0,93706,206020.711111111
0,0,0,0,97233,234081.428571429
0,0,0,0,74840,182883.5
0,0,0,0,80611,175070
0,0,0,0,23464,235813.933429812
0,0,0,0,62325,187062.5
0,0,0,0,85711,190854.367231638
0,0,0,0,16050,191082.666666667
0,0,0,0,95626,295384.842105263
0,0,0,0,36453,211352.5
0,0,0,0,59729,212639.25
0,0,0,0,45233,205576.4
0,0,0,0,53529,228042.5625
0,0,0,0,53224,203574.940740741
0,0,0,0,53956,204741
0,0,0,0,75707,216115.52173913
0,0,0,0,62272,232100
0,0,0,0,53801,167600
0,0,0,0,17532,188109.222222222
0,0,0,0,43549,208300
1,1,1,1,92394,240562
0,0,0,0,72837,223417.380952381
1,1,1,0,59925,175000
0,0,0,0,52746,238733.333333333
0,0,0,0,92264,309667.421052632
0,0,0,0,54666,207575.125
0,0,0,0,38231,155352.5
0,0,0,0,71468,219780
0,0,0,0,33404,196077.752
0,0,0,0,75650,212370.425531915
1,1,1,0,45040,157003
0,1,0,0,77584,209058.5
0,0,0,0,93651,272570.714285714
0,0,0,0,48471,162648.25
0,0,0,0,61252,187282.7
0,0,0,0,94597,438389.733333333
0,0,0,0,19975,280462.056179775
0,0,0,0,04984,184594
0,0,0,0,49749,165925.75
0,0,0,0,78648,186597.1
0,0,0,0,76670,279981.666666667
0,0,0,0,33309,233312.677053824
0,0,0,0,61920,190208.136363636
0,0,0,0,78211,169375.5
0,0,0,0,32817,219295.527777778
0,0,0,0,76524,194684
0,0,0,0,37917,186549.592105263
0,0,0,0,97030,244880.985507246
0,0,0,0,45030,211855.632911392
0,0,0,0,19153,167382.4375
0,0,0,0,71031,212808
0,0,0,0,95425,405787.585365854
0,0,0,0,49310,153338
0,0,0,0,06469,220818.225806452
0,0,0,0,72011,186570.314285714
0,0,0,0,50007,236800
0,0,0,0,35670,178495.785714286
0,0,0,0,53027,222594.718181818
0,0,0,0,03264,187923.470588235
0,0,0,0,22920,235780.090909091
0,0,0,0,54893,235849.512820513
0,0,0,0,95328,259974.787878788
0,0,0,0,48028,171192
0,0,0,0,87107,244695.975609756
0,0,0,0,93505,185677.705882353
0,0,0,0,92130,489364.958333333
0,0,0,0,43110,206797.246305419
0,0,0,0,33183,284392.266666667
0,0,0,0,75209,431359.375
0,0,0,0,94010,543675.166666667
0,0,0,0,44405,152682
0,0,0,0,74131,226706.952380952
1,1,1,0,17316,192898
1,1,1,0,95658,246489
0,0,0,0,24526,240762.571428571
0,0,0,0,45169,212673.714285714
0,1,0,0,95363,300700
0,0,0,0,19707,309007.126213592
0,0,0,0,33609,302156.384615385
0,0,0,0,92069,429911.015748031
0,0,0,0,76802,195370
0,0,0,0,32531,229593.681818182
0,0,0,0,80246,521617
0,0,0,0,90803,471420.636363636
0,0,0,0,85298,296330.342105263
0,0,0,0,18840,169590.625
0,0,0,0,91744,392077.951417004
0,0,0,0,49249,218422.5
0,0,0,0,72645,323100
0,0,0,0,17032,174737.208333333
