retail_year,retail_week,date,demand_direct_load,demand_natural_search,demand_paid_search,demand_affiliate,demand_olm,demand_email,demand_social,demand_total,traffic_direct_load,traffic_natural_search,traffic_paid_search,traffic_affiliate,traffic_olm,traffic_email,traffic_social,traffic_total,orders_direct_load,orders_natural_search,orders_paid_search,orders_affiliate,orders_olm,orders_email,orders_social,orders_total
2020,1,6/2/19,891637.6277,407654.2981,337298.8982,365061.7618,28749.74431,104109.9628,76373.5332,2367682.3,247957.7667,183274.4665,199228.4132,109800.5779,25284.46347,88854.95207,199909.901,1209719,10837.19912,4696.265206,2541.739326,2858.934045,287.0257883,798.168673,461.5186093,18376
2020,1,6/3/19,840077.5254,384081.1596,317794.152,343951.5919,27087.25306,98089.6692,71957.13458,2230768,198801.1216,146941.0294,159732.1695,88033.0483,20271.91874,71239.80978,160278.555,969897,9253.137473,4009.817211,2170.216044,2441.046755,245.07154,681.5012233,394.0589345,15690
2020,1,6/4/19,811392.752,370966.5592,306942.9472,332207.2312,26162.34828,94740.35934,69500.13027,2154597.56,222496.0176,164454.7757,178770.4782,98525.61443,22688.10734,79730.80753,179381.9868,1085498,9340.420095,4047.640854,2190.687171,2464.072562,247.3832409,687.9296606,397.7759978,15838
2020,1,6/5/19,783587.862,358254.2391,296424.5948,320823.1198,25265.81425,91493.787,67118.49268,2080763.59,214501.3141,158545.604,172346.9162,94985.40241,21872.88065,76865.92854,172936.4521,1046494,9162.316366,3970.460178,2148.915007,2417.087469,242.6661214,674.8121737,390.1911795,15536
2020,1,6/6/19,992725.1154,453871.2225,375539.4313,406449.8495,32009.18439,115913.2047,85032.21735,2636113.16,267180.5972,197482.7489,214673.5193,118312.8255,27244.63177,95743.39804,215407.8391,1303502,11420.45935,4949.01914,2678.536246,3012.802448,302.4735737,841.1262708,486.3576333,19365
2020,1,6/7/19,1005826.536,459861.1564,380495.5868,411813.9431,32431.62338,117442.9612,86154.42412,2670903.08,244303.947,180573.7974,196292.6524,108182.5947,24911.88037,87545.61628,196964.098,1191893,11803.20544,5114.880922,2768.304902,3113.773726,312.6106948,869.3158371,502.657458,20014
2020,1,6/8/19,1299832.287,594279.7862,491715.4512,532188.2457,41911.47249,151771.8487,111337.5897,3451615.1,154590.4358,114263.3281,124209.8912,68455.68673,15763.71766,55397.03776,124634.768,754205,11025.32856,4777.790489,2585.862903,2908.563995,292.008441,812.0245615,469.5303876,18695
2020,2,6/9/19,1028957.553,314321.1219,423951.671,585997.5075,36220.86273,169322.0296,88827.72458,2899078.68,260879.8259,106120.4591,211761.9858,122474.7636,25468.70768,101525.1691,169688.1061,1159261,12049.36702,4944.425594,3320.199257,7201.936523,345.4363211,2023.102807,705.4560079,26165
2020,2,6/10/19,1134050.913,346424.5481,467252.2965,645848.8074,39920.30802,186615.8635,97900.21161,3195178.28,264161.8059,107455.4999,214426.0423,124015.5486,25789.11494,102802.3992,171822.8551,1173845,13364.59699,5484.126702,3682.610458,7988.052736,383.141887,2243.931457,782.4589644,29021
2020,2,6/11/19,958612.6654,292832.496,394968.1308,545935.6714,33744.61625,157746.2954,82754.99954,2700882.59,240665.8539,97897.83782,195353.8528,112984.9479,23495.29428,93658.60863,156540.0191,1069437,10692.69072,4387.717098,2946.367535,6391.047741,306.5425545,1795.315271,626.0264876,23219
2020,2,6/12/19,968787.8637,295940.7678,399160.5217,551730.508,34102.79863,159420.6941,83633.40284,2729551.12,258480.677,105144.5354,209814.5429,121348.4396,25234.48787,100591.5055,168127.5905,1148600,10762.68896,4416.440686,2965.655526,6432.885859,308.5492933,1807.068057,630.1246841,23371
2020,2,6/13/19,947630.0075,289477.5652,390443.0499,539680.9818,33358.01008,155939.0236,81806.88997,2669939.05,229866.6455,93504.94563,186587.894,107915.0638,22441.00853,89455.94002,149515.7227,1021449,9162.860902,3759.955515,2524.823414,5476.664667,262.6847499,1538.455056,536.4593231,19897
2020,2,6/14/19,1090752.607,333197.9848,449412.5039,621190.1618,38396.14212,179490.8299,94162.36059,3073185.69,297448.3381,120995.7653,241445.4644,139642.5145,29038.75279,115756.3362,193473.9299,1321759,14952.45166,6135.698629,4120.143309,8937.117408,428.6631725,2510.534112,875.4233182,32469
2020,2,6/15/19,1134151.531,346455.2844,467293.7531,645906.1099,39923.84992,186632.4209,97908.89774,3195461.77,293433.8537,119362.7569,238186.8177,137757.842,28646.83391,114194.0413,190862.7266,1303920,13144.47096,5393.798576,3621.954802,7856.482866,376.8312216,2206.97204,769.5712147,28543
